client,ipv6,ipv4,vulnerable,cookie
Apple\_07:c0:60,150,249,0,0
Apple\_61:10:a0,0,47,1,1
AskeyCom\_4c:e5:f9,308,980,1,0
Azurewav\_52:5b:2e,180,291,1,1
Azurewav\_7e:bc:b2,20,20,1,0
GemtekTe\_4f:cc:90,120,10,1,1
HonHaiPr\_57:68:d8,383,207,0,0
HonHaiPr\_96:95:49,10,0,0,0
HonHaiPr\_9c:75:c3,0,255,1,1
HonHaiPr\_bb:9d:40,77,85,1,0
Htc\_38:38:16,7,0,0,0
IntelCor\_11:1e:17,79,170,0,0
IntelCor\_1f:da:79,424,60,1,1
IntelCor\_5a:13:c2,2398,3650,1,1
IntelCor\_67:58:77,91,66,0,0
IntelCor\_a1:f6:ce,15,2,0,0
LiteonTe\_e1:f0:42,20,0,1,0
Nokia\_41:60:0b,0,235,1,1
Nokia\_87:fe:5b,0,412,1,1
SamsungE\_2b:81:ea,0,8,0,0
SamsungE\_de:eb:ab,0,11,1,0
SamsungE\_e3:c7:87,100,10,0,0
SonyEric\_77:ca:1c,219,228,1,1
SonyEric\_bb:b2:47,0,195,1,1
Universa\_aa:02:a1,554,273,1,1
